"gla","eng","see-also","gla-keywords","eng-keywords","gla-metaphone","eng-metaphone"
"àraidh","certain, some, Irish <i>áirighe</i>, Middle Irish <i>áiridhe</i>, <i>*ad-rei-</i>; cf. Welsh <i>rhai</i>, <i>rhyw</i>, some, certain, which Rhys compares to Gothic <i>fraiv</i>, seed.","","araidh, àraidh","ad-rei-, certain, cf, compar, fraiv, gothic, irish, middl, rhai, rhys, rhyw, seed, some, to, welsh, which, áiridh, áirigh","ART","AK, ALX, AR, ART, ARX, ATTR, AX, FLX, FRF, K0K, KF, KMPR, KTK, MTL, R, RF, RS, SM, SRTN, ST, T"
"ar-amach","rebellion; for <i>*eirigh-amach</i>, ""out-rising"".","","amach, ar, ar-amach","eirigh-amach, for, out-ris, rebellion","AMK, AR, ARRMK","ARMK, ATTRS, FR, RPLN"
"aran","bread, Irish, Middle Irish, <i>arán</i>; root ar, join, Greek @G<i>arariskw</i>, @G<i>a@'/rtos</i>. See arbhar.","","aran","a'rto, ar, arariskw, arbhar, arán, bread, greek, irish, join, middl, root, see","ARN","AART, AN, AR, ARN, ARPR, ARRSK, ARX, JN, KRK, MTL, PRT, RT, S"
"arbhar","corn, so Irish, Early Irish <i>arbar</i>; Old Irish <i>arbe</i>, frumentum; Latin <i>arvum</i>, field. Also Gaulish <i>arinca</i>, ""frumenti genus Gallicum"" (Pliny), Greek @G<i>a@'/rakos</i>, vetch, Sanskrit <i>arakas</i>, a plant.","","arbhar","a'rako, also, araka, arb, arbar, arinca, arvum, corn, earli, field, frumenti, frumentum, gallicum, gaulish, genus, greek, irish, latin, old, plant, plini, sanskrit, so, vetch","ARPR","AARK, ALS, ALT, ARFM, ARK, ARL, ARNK, ARP, ARPR, ARX, FLT, FRMNT, FRMNTM, FX, JNS, KLKM, KLX, KNS, KRK, KRN, LTN, PLN, PLNT, S, SNSKRT"
"arbhartaich","dispossess; <i>*ar-bert-</i>; ar for <i>ex-ró</i>?","","arbhartaich","ar, ar-bert-, dispossess, ex-ró, for","ARPRTK, ARPRTX","AKSKSR, AR, ARRPRTT, FR, TSPSS"
"arc","fungus on decayed wood, cork, <b>arcan</b>, cork, a cork, stopple, Irish <i>arcan</i>, cork (Lh.):","","arc","arcan, cork, decay, fungus, irish, lh, on, stoppl, wood","ARK","AN, ARKN, ARX, AT, FNKS, FT, KRK, L, STPL, TK"
"archuisg","experiment (Sh.):","","archuisg","experi, sh","ARKSK, ARXSK","AKSPR, X"
"arcuinn","cow's udder:","","arcuinn","cow, udder","ARKN","ATR, K, KF"
"àrd","high, Irish, Early Irish <i>ârd</i>, Gaulish <i>Ardvenna</i>; Latin <i>arduus</i>; Greek @G<i>o@'rqós</i>","","ard, àrd","arduus, ardvenna, earli, gaulish, greek, high, irish, latin, o'rqó, ârd","ART","AARK, ARL, ART, ARTFN, ARTS, ARX, HH, KLX, KRK, LTN"
"ard-dorus","lintel, Irish <i>ardorus</i>, <i>fardorus</i>; <i>àrd-</i> here is a piece of folk etymology, the real word being ar, air, upon. See air and dorus.","","ard, ard-dorus, dorus","air, ar, ardorus, be, dorus, etymolog, fardorus, folk, here, irish, lintel, of, piec, real, see, upon, word, àrd-","ART, ARTTTRS, TRS","AF, APN, AR, ART, ARTRS, ARTT, ARX, ATMLK, FLK, FRT, FRTRS, HR, LNTL, P, PK, RL, S, TRS"
"arfuntaich","disinherit; <i>*ar-fonn-</i>. See arbhartaich.","","arfuntaich","ar-fonn-, arbhartaich, disinherit, see","ARFNTK, ARFNTX","ARPRTK, ARPRTX, ARRFNN, S, TSNRT"
"argarrach","a claimant; <i>*air+gar</i>; See goir.","","argarrach","airgar, claimant, goir, see","ARKRK","ARKR, KLMNT, KR, S"
"argumaid","argument, Irish <i>argumeint</i>, Old Irish <i>argumint</i>; from Latin <i>argumentum</i>.","","argumaid","argumeint, argument, argumentum, argumint, from, irish, latin, old","ARKMT","ALT, ARKMNT, ARKMNTM, ARX, FRM, LTN"
"àrlas","chimney, Early Irish <i>forlés</i>, roof light; air+ leus, q.v.","","arla, àrlas","air, chimney, earli, forlé, irish, leus, light, qv, roof","ARL, ARLS","AR, ARL, ARX, FRL, KF, LS, LT, RF, XMN"
"arm","weapon, Irish, Old Irish <i>arm</i>, Welsh <i>arf</i>; from Latin <i>arma</i>, whence English <i>arms</i>. Stokes says unlikely from Latin <!-- page 22 -->","","arm","22, arf, arm, arma, english, from, irish, latin, old, page, say, stoke, unlik, weapon, welsh, whenc","ARM","ALT, ALX, ANK, ANKLX, ANLK, ANLX, APN, ARF, ARM, ARX, FLX, FPN, FRM, LTN, PJ, PK, S, STK"
"armadh","working wool in oil, the oil for working wool. Cf. aolmann.","","armadh","aolmann, cf, for, in, oil, wool, work","ARMT","AL, ALMN, AN, ARK, FL, FR, FRK, KF"
"àrmunn","a hero, Irish <i>armann</i>, sn oggivrt, Early Irish <i>armand</i>, from an oblique case of Norse <i>ármaðr</i> (g. <i>ármanns</i>, harmost, steward.","","armunn, àrmunn","armand, armann, case, earli, from, harmost, hero, irish, nors, obliqu, of, oggivrt, sn, steward, ármann, ármaðr","ARMN","AF, AJFRT, AKFRT, APLK, ARL, ARM0R, ARMN, ARMNT, ARMTR, ARX, FRM, HR, HRMST, KS, NRS, SN, STRT, XN"
"àrloch","hamlet, dwelling:","","arloch, àrloch","dwell, hamlet","ARLK, ARLX","HMLT, TL"
"àros","a dwelling, Irish <i>árus</i>, Middle Irish <i>aros</i>, Welsh <i>araws</i>, <i>aros</i>; <i>*ad-rostu-</i>; English <i>rest</i> is allied to <i>rostu-</i>.","","aro, àros","ad-rostu-, alli, araw, aro, dwell, english, irish, middl, rest, rostu-, to, welsh, árus","AR, ARS","AL, ALX, ANKLX, ANLX, AR, ARF, ARS, ARX, ATTRST, FLX, MTL, RST, T, TL"
"arpag","a harpy; from Latin <i>harpyia</i>, English <i>harpy</i>.","","arpag","english, from, harpi, harpyia, latin","ARPK","ANKLX, ANLX, FRM, HRP, LTN"
"arraban","distress: <i>*ar-reub-</i>?","","arraban","ar-reub-, distress","ARPN","ARRRPP, TSTRS"
"arrabhalach","treacherous fellow; See farbhalach.","","arrabhalach","farbhalach, fellow, see, treacher","ARPLK","FL, FLF, FRPLK, S, TRKR, TRXR"
"arrachar","rowing, steering (Arms.): <i>*ar-reg-</i>, root <i>reg</i>, direct.","","arrachar","ar-reg-, arm, direct, reg, root, row, steer","ARKR","ARM, ARRRKK, R, RF, RK, RT, STR, TRKT"
"arrachd","spectre, Irish, Early Irish <i>arracht</i>; <i>*ar-rig-</i>; See riochd for root. Irish has also <i>arrach</i>, contour, spectre.","","arrachd","also, ar-rig-, arrach, arracht, contour, earli, for, has, irish, riochd, root, see, spectr","ARKT","ALS, ARK, ARKT, ARL, ARRRKK, ARX, FR, HS, KNTR, RKT, RT, RXT, S, SPKTR"
"arrachogaidh","the first hound that gets wind of, or comes up to the deer (Sh.):","","arrachogaidh","come, deer, first, get, hound, of, or, sh, that, to, up, wind","ARKKT","0T, AF, ANT, AP, AR, FNT, FRST, HNT, KM, KT, T, TR, TT, X"
"arraghaideach","careless (Sh.):","","arraghaideach","careless, sh","ARKTK, ARKTX","KRLS, X"
"arraideach","erratic: from the English? earraid, hermit?","","arraideach","earraid, english, errat, from, hermit","ARTK, ARTX","ANKLX, ANLX, ART, FRM, HRMT"
"arraidh, farraidh","suspicion (M`D).","","arraidh, farraidh","m`d, suspicion","ART, FRT","MMT, SSPSN, SSPXN"
"arraing","a stitch, convulsions, so Irish; <i>*ar-vreng-</i>? English <i>wrench</i>, etc.","","arra","ar-vreng-, convuls, english, etc, irish, so, stitch, wrench","AR","ANKLX, ANLX, ARRFRNKK, ARX, ATK, KNFLS, RNK, RNX, S, STX"
"arral","foolish pride:","","arral","foolish, pride","ARL","FLX, PRT"
"arronta","bold; See farrant.","","arronta","bold, farrant, see","ARNT","FRNT, PLT, S"
"arrusg","awkwardness, indecency, <b>arusg</b> (M`A.):","","arrusg","arusg, awkward, indec, m`a","ARSK","AKRT, ANTK, ARSK, MM"
"ars, arsa","quoth, Irish ar, Early Irish ar. The <i>s</i> of the Gaelic really belongs to the pronoun <i>sé</i> or sì, said he, said she, ""ar sé, ar sì"". Cf. Middle Gaelic ""ar san tres ughdar glic"" - said the third wise author (<i>san</i> being the full art.; now <i>ars an</i>. The Early Irish forms <i>bar</i> and <i>for</i>, inquit, point to the root <i>sver</i>, say, English <i>swear</i>, <i>answer</i>. Stokes refers it to the root <i>ver</i>, <i>verdh</i>, English <i>word</i>, adducing Early Irish <i>fordat</i>, <i>ordat</i>, <i>oldat</i>, inquiunt, for the <i>verdh</i> root. Thurneysen objects that <i>ol</i> or <i>for</i> is a preposition, the <i>-dat</i> being the verb ta on analogy with other forms <i>indás</i>, <i>oldáte</i>. The original is <i>al</i>, propter, ""further"" (see ""thall""), like Latin tum (""tum ille"" - then he), later <i>or</i> or <i>for</i>, and later still ar - all prepositions, denoting ""further"".","","ar, arsa","-dat, adduc, al, all, analog, answer, ar, art, author, bar, be, belong, cf, denot, earli, english, for, fordat, form, full, further, gaelic, glic, he, ill, indá, inquit, inquiunt, irish, it, later, latin, like, middl, now, object, of, ol, oldat, oldát, on, or, ordat, origin, other, point, preposit, pronoun, propter, quoth, realli, refer, root, said, san, say, see, she, still, stoke, sver, swear, sé, sì, ta, thall, that, then, third, thurneysen, to, tres, tum, ughdar, ver, verb, verdh, wise, with, word","AR, ARS","0L, 0N, 0RNSN, 0RT, 0T, A0, A0R, AATR, AF, AL, ALTT, AN, ANKLX, ANKNT, ANKT, ANLK, ANLX, ANSR, ANT, APJKT, AR, ARJN, ARKN, ARL, ART, ARTT, ARX, AS, AT, ATK, ATR, FL, FR, FR0R, FRM, FRP, FRT, FRTR, FRTT, FS, FT, H, K0, KF, KLK, KT, LK, LTN, LTR, MTL, N, NF, P, PLNK, PNT, PR, PRNN, PRPST, PRPTR, RFR, RL, RT, S, SFR, SN, SR, ST, STK, STL, T, TL, TM, TN, TNT, TRNSN, TRS, TRT, TT, X, XR"
"àrsaidh","old, Irish <i>ársaidh</i>, Old Irish <i>arsid</i>: <i>*ar-sta-</i>; <i>sta</i>, stand. It was not observed that Stokes had the word; but the same conclusion is reached. His stem is <i>*(p)arostât</i>, from <i>paros</i>, before, and <i>stât</i>, Sanskrit <i>purástât</i>, erst.","","arsaidh, àrsaidh","ar-sta-, arsid, befor, conclus, erst, from, had, his, irish, it, not, observ, old, paro, parostât, purástât, reach, same, sanskrit, sta, stand, stem, stoke, stât, that, was, word, ársaidh","ARST","0T, ALT, APSRF, ARRST, ARST, ART, ARX, AS, AT, FRM, FRT, FS, HS, HT, KNKLS, NT, PFR, PR, PRSTT, RK, RX, SM, SNSKRT, ST, STK, STM, STNT, STT, TT"
"arsnaig","arsenic; from the English","","arsnaig","arsenic, english, from","ARSNK","ANKLX, ANLX, ARSNK, FRM"
"arspag","large species of sea-gull, larus major:","","arspag","larg, larus, major, of, sea-gul, speci","ARSPK","AF, LRK, LRS, MHR, MJR, SKL, SPS"
"artan","a stone; See airtein.","","artan","airtein, see, stone","ARTN","ARTN, S, STN"
"artlaich","baffle; See fairtlich.","","artlaich","baffl, fairtlich, see","ARTLK, ARTLX","FRTLK, FRTLX, PFL, S"
"àruinn","a forest; <i>*ag-ro-ni-</i>, root ag, Greek @G<i>a@'/gra</i>, the chase. <!-- page 23 -->","","aruinn, àruinn","23, a'gra, ag, ag-ro-ni-, chase, forest, greek, page, root","ARN","AAKR, AK, AKKRN, FRST, KRK, PJ, PK, RT, XS"
"as, a","out of, from, Irish as, Old Irish <i>ass</i>, <i>a</i>, Welsh <i>a</i>, <i>oc</i>, Breton <i>a</i>, ag, Gaulish <i>ex-</i>; Latin <i>ex</i>; Greek <i>e@'x</i>, etc. <b>as-</b> is also used as a privative particle.","","as","ag, also, as, as-, ass, breton, e'x, etc, ex, ex-, from, gaulish, greek, irish, latin, oc, of, old, out, particl, privat, use, welsh","AS","AAKS, AF, AK, AKS, AKSKS, ALS, ALT, ALX, ARX, AS, ASS, AT, ATK, FLX, FRM, KLX, KRK, LTN, PRFT, PRTKL, PRTN"
"asaid","delivery; See aisead.","","asaid","aisead, deliveri, see","AST","AST, S, TLFR"
"asair","also <b>fasair</b>, the herb ""asara bacca""; borrowed from Latin name.","","asair","also, asara, bacca, borrow, fasair, from, herb, latin, name","ASR","ALS, ASR, FRM, FSR, HRP, LTN, NM, PK, PR, PRF"
"asair","harness, shoemaker, Irish <i>asaire</i>, shoemaker, <i>assain</i>, greaves, etc., Old Irish <i>assa</i>, soccus; Greek @G<i>pax</i>, sandal (Hes.), Latin <i>baxea</i>; root <i>pa@-g</i>, fit, Greek @G<i>pc/gnumi</i> (Stokes).","","asair","asair, assa, assain, baxea, etc, fit, greav, greek, har, hes, irish, latin, old, pa-g, pax, pcgnumi, root, sandal, shoemak, soccus, stoke","ASR","ALT, ARX, AS, ASN, ASR, ATK, FT, HR, HS, KRF, KRK, LTN, PK, PKNM, PKS, RT, SKS, SNTL, STK, XMK"
"asal","an ass, so Irish, Middle Irish <i>assal</i>, Welsh <i>asyn</i>, Cornish <i>asen</i>. Gaelic and Irish are borrowed from Latin <i>assellus</i>, the Welsh and Cornish from Latin <i>asinus</i>.","","asal","are, asen, asinus, ass, assal, assellus, asyn, borrow, cornish, from, gaelic, irish, latin, middl, so, welsh","ASL","ALX, AR, ARX, AS, ASL, ASLS, ASN, ASNS, FLX, FRM, KLK, KRNX, LTN, MTL, PR, PRF, S"
"asbhuain","stubble; <i>*as-buain</i>, ""out-reaping"", q.v.","","asbhuain","as-buain, out-reap, qv, stubbl","ASPN","ASSPN, ATTRP, KF, STPL"
"ascaoin","unkind, wrong side of cloth (<i>caoin is ascaoin</i>); <i>as-</i>, privative, and caoin, q.v.","","ascaoin","as-, ascaoin, caoin, cloth, of, privat, qv, side, unkind, wrong","ASKN","AF, ANKNT, ASKN, ASS, KF, KL0, KLT, KN, PRFT, RNK, ST"
"ascart","tow, Irish <i>asgartach</i>, Middle Irish <i>escart</i>, Welsh <i>carth</i>, Breton <i>skarz</i>, <i>*ex-skarto-</i>, <i>*skarto-</i>, dividing, root <i>sker</i>, separate; Greek <i>skw/r</i>, dung; English <i>sharn</i>; etc.","","ascart","asgartach, breton, carth, divid, dung, english, escart, etc, ex-skarto-, greek, irish, middl, root, separ, sharn, skarto-, skarz, sker, skwr, tow, welsh","ASKRT","AKSKSSKRT, ALX, ANKLX, ANLX, ARX, ASKRT, ASKRTK, ATK, FLX, KR0, KRK, KRT, MTL, PRTN, RT, SKR, SKRS, SKRT, SKRTS, SPR, T, TF, TFT, TNK, XRN"
"asgaidh","present, boon, Early Irish <i>ascad</i>, Old Irish <i>ascid</i> (Meyer); for root, See taisg.","","asgaidh","ascad, ascid, boon, earli, for, irish, meyer, old, present, root, see, taisg","ASKT","ALT, ARL, ARX, ASKT, AST, FR, MR, PN, PRSNT, RT, S, TSK"
"asgailt","a retreat, shelter; See fasgadh, sgàil: <i>*ad-scath-</i>, <i>ascaid</i>.","","asgailt","ad-scath-, ascaid, fasgadh, retreat, see, sgàil, shelter","ASKLT","ASKT, ATTSK00, ATTSKTT, FSKT, RTRT, S, SKL, XLTR"
"asgall","bosom, armpit, so Irish, Breton <i>askle</i>, Welsh <i>asgre</i>, bosom. The same as achlais (q.v.) be metathesis of the <i>s</i>.","","asgal","achlai, armpit, as, asgr, askl, be, bosom, breton, irish, metathesi, of, qv, same, so, welsh","ASKL","AF, AKL, ALX, ARMPT, ARX, AS, ASKL, ASKR, FLX, KF, MT0S, MTTS, P, PRTN, PSM, S, SM"
"asgan","a grig, merry creature, dwarf (Arms.). See aisteach.","","asgan","aisteach, arm, creatur, dwarf, grig, merri, see","ASKN","ARM, ASTK, ASTX, KRK, KRTR, MR, S, TRF"
"asgnadh","ascending, so Irish; <i>*ad-sqendô-</i>; :at. <i>scando</i>, etc.","","asgnadh","ad-sqendô-, ascend, at, etc, irish, scando, so","ASKNT, ASNT","ARX, ASNT, AT, ATK, ATTSKNT, S, SKNT"
"aslach","request, Irish, Old Irish <i>aslach</i>, persuasio, <i>adslig</i>, persuades; for root, See slighe, way.","","aslach","adslig, aslach, for, irish, old, persuad, persuasio, request, root, see, sligh, way","ASLK","A, ALT, ARX, ASLK, ATSLK, F, FR, PRSS, PRST, PRSX, RKST, RT, S, SL, XL"
"aslonnach","prone to tell (Arms.), Early Irish <i>asluindim</i>, I request; * ad- sloinn, q.v.","","aslonnach","ad-, arm, asluindim, earli, irish, prone, qv, request, sloinn, tell, to","ASLNK","ARL, ARM, ARX, ASLNTM, ATT, KF, PRN, RKST, SLN, T, TL, XLN"
"asp","an asp, Welsh <i>asp</i>, from the English","","asp","asp, english, from, welsh","ASP","ALX, ANKLX, ANLX, ASP, FLX, FRM"
"àsran","a forlorn object, Irish <i>asránnach</i>, <i>astrannach</i>, a stranger: from astar?","","asran, àsran","asránnach, astar, astrannach, forlorn, from, irish, object, stranger","ASRN","APJKT, ARX, ASRNK, ASTR, ASTRNK, FRLRN, FRM, STRNJR, STRNKR"
"astail","a dwelling; See fasdail.","","astail","dwell, fasdail, see","ASTL","FSTL, S, TL"
"astail","a contemptible fellow (M`A.):","","astail","contempt, fellow, m`a","ASTL","FL, FLF, KNTMPT, MM"
"astar","a journey, Irish <i>asdar</i>, <i>astar</i>, Early Irish <i>astur</i>; <i>*ad-sod-ro-n</i>, root sod, <i>sed</i>, go; Greek @G<i>o@`dós</i>, way, Church Slavonic <i>choditi</i>, go; English <i>ex-odus</i>. Stokes (Bez. Beit.@+<i>21</i> 1134) now gives its Celtic form as <i>*adsîtro-</i>, root <i>sai</i> of saothair, toil.","","astar","1134, 21, ad-sod-ro-n, adsîtro-, as, asdar, astar, astur, beit, bez, celtic, choditi, church, earli, english, ex-odus, form, give, go, greek, irish, it, journey, now, o`dó, of, root, sai, saothair, sed, slavon, sod, stoke, toil, way","ASTR","A, AAT, AF, AKSKSTS, ANKLX, ANLX, ARL, ARN, ARX, AS, ASTR, AT, ATSTR, ATTSTTRN, F, FRM, JF, JRN, K, KF, KRK, N, NF, PS, PT, RT, S, S0R, SLFN, SLTK, ST, STK, STR, TL, XLFN, XRK, XRX, XTT"
"àsuing, àsuinn àsuig","apparatus, weapon; See asair(?).","","asu, asuig, asuinn, àsu, àsuig, àsuinn","apparatus, asair, see, weapon","AS, ASK, ASN","APN, APRTS, ASR, FPN, S"
"at","swell, Irish <i>at</i>, Old Irish <i>att</i>, <i>*(p)at-to-</i>, root <i>pat</i>, extend, as in aitheamh, q.v. Stokes gives Celtic as <i>azdo-</i> (Gothic <i>asts</i>, twig, etc.); but this would be Gaelic ad.","","at","ad, aitheamh, as, ast, at, att, azdo-, be, celtic, etc, extend, gaelic, give, gothic, in, irish, old, pat, pat-to-, qv, root, stoke, swell, this, twig, would","AT","0S, A0M, AKSTNT, ALT, AN, ARX, AS, AST, AT, ATK, ATM, FLT, JF, K0K, KF, KLK, KTK, P, PT, PTTT, RT, SL, SLTK, STK, TK, TS, XL"
"++atach","request, Book of Deer <i>attác</i>, Early Irish atach, Old Irish <i>ateoch</i>, I pray, <i>*ad-tek-</i>; English thig. <!-- page 24 -->","","atach","24, ad-tek-, atach, ateoch, attác, book, deer, earli, english, irish, of, old, page, pray, request, thig","ATK","0K, AF, ALT, ANKLX, ANLX, ARL, ARX, ATK, ATTTKK, ATX, PJ, PK, PR, RKST, TK, TR"
"atach","cast-off clothes (Uist, etc.)=<i>ath-aodach</i>.","","atach","ath-aodach, cast-off, cloth, etc, uist","ATK","A00TK, AST, ATK, ATTTK, KL0, KLT, KSTTF"
"ataig, atuinn","a palisade, stake:","","ataig, atuinn","palisad, stake","ATK, ATN","PLST, STK"
"atamach","fondling, caressing (M`A):","","atamach","caress, fondl, m`a","ATMK","FNTL, KRS, MM"
"ath","next, again: See ath-.","","ath","again, ath-, next, see","A0, AT","A00, AKN, ATT, NKST, S"
"ath","flinch; from ath-, back. Hence <b>athach</b>, modest.","","ath","ath-, athach, back, flinch, from, henc, modest","A0, AT","A00, A0K, ATK, ATT, FLNK, FLNX, FRM, HNK, MTST, PK"
"ath-, aith-","re-, so Irish, Old Irish ath-, <i>aith-</i>, ad-, <i>*ati</i>, Welsh ad-, Breton <i>at-</i>, <i>az-</i>; Gaulish <i>ate</i>: Latin at, but, <i>at-</i> (<i>atavus</i>); Lithuanian <i>at-</i>, <i>ata-</i>, back, Slavonic <i>otu@u</i>; Sanskrit <i>ati</i>, over. Stokes divides Celtic <i>ati-</i> into two, meaning respectively ""over"" and ""re-""; but this seems unnecessary.","","aith, aith-, ath, ath-","ad-, aith-, at, at-, ata-, atavus, ate, ath-, ati, ati-, az-, back, breton, but, celtic, divid, gaulish, into, irish, latin, lithuanian, mean, old, otuu, over, re-, respect, sanskrit, seem, slavon, so, stoke, this, two, unnecessari, welsh","A0, A00, AT, ATT","0S, A00, AFR, ALT, ALX, ANSSR, ANT, ARX, ASS, AT, ATFS, ATT, FLX, KLX, L0NN, LTN, LTNN, MN, PK, PRTN, PT, R, RSPKT, S, SLFN, SLTK, SM, SNSKRT, STK, T, TFT, TS, XLFN"
"àth","a ford, Irish, Old Irish <i>áth</i>, <i>*jâtu-</i>; Sanskrit<i>yâ</i>, to go; Lithuanian <i>jóti</i>, ride (Stokes). Beul-àth:","","ath, àth","beul-àth, ford, go, irish, jâtu-, jóti, lithuanian, old, ride, sanskrit, stoke, to, yâ, áth","A0, AT","A, A0, ALT, ARX, AT, FRT, JT, K, L0NN, LTNN, PLL0, PLLT, RT, SNSKRT, STK, T"
"àth","a kiln, Irish <i>áith</i>, Welsh <i>odyn</i>. Stokes refers this to a pre-Celtic <i>apati-</i>, <i>apatino-</i>, parallel to English <i>oven</i>, Gothic <i>auhns</i>, Greek @G<i>i@'pnós</i>. Bezzenberger suggests the Zend. <i>âtar</i>, fire, as related.","","ath, àth","apati-, apatino-, as, auhn, bezzenberg, english, fire, gothic, greek, i'pnó, irish, kiln, odyn, oven, parallel, pre-celt, refer, relat, stoke, suggest, this, to, welsh, zend, áith, âtar","A0, AT","0S, A0, AAPN, AFN, ALX, AN, ANKLX, ANLX, APT, APTN, ARX, AS, AT, ATN, ATR, FLX, FR, K0K, KLN, KRK, KTK, PRLL, PRSLT, PSNPRK, RFR, RLT, SKST, SNT, STK, T, TS"
"athach","a giant, Irish <i>fathach</i>, <i>athach</i>; root <i>pat</i>, extend?","","athach","athach, extend, fathach, giant, irish, pat, root","A0K, ATK","A0K, AKSTNT, ARX, ATK, F0K, FTK, JNT, KNT, PT, RT"
"++athach","a breeze, Irish, Old Irish athach; Greek @G<i>a@'tmós</i>, vapour, English <i>atmosphere</i>; German <i>atem</i>, breath; etc.","","athach","a'tmó, atem, athach, atmospher, breath, breez, english, etc, german, greek, irish, old, vapour","A0K, ATK","A0K, AATM, ALT, ANKLX, ANLX, ARX, ATK, ATM, ATMSFR, FPR, JRMN, KRK, KRMN, PR0, PRS, PRT"
"athainne","embers, so Irish; <i>*ath-teine</i>(?) See aithinne.","","athainn","aithinn, ath-tein, ember, irish, see, so","A0N, ATN","A00N, A0N, AMPR, ARX, ATN, ATTN, S"
"athailt","a scar; See ath-ail; See ail, mark.","","athailt","ail, ath-ail, mark, scar, see","A0LT, ATLT","A00L, AL, ATTL, MRK, S, SKR"
"athair","father, so Irish, Old Irish <i>athir</i>; Latin <i>pater</i>; Greek @G<i>patc/r</i>; Sanskrit <i>pitár</i>; English <i>father</i>.","","athair","athir, english, father, greek, irish, latin, old, patcr, pater, pitár, sanskrit, so","A0R, ATR","A0R, ALT, ANKLX, ANLX, ARX, ATR, F0R, FTR, KRK, LTN, PTKR, PTR, S, SNSKRT"
"athair-neimh","serpent, Breton <i>aer</i>, <i>azr</i>; for nathair- neimh, q.v.","","athair, athair-neimh, neimh","aer, azr, breton, for, nathair-, neimh, qv, serpent","A0R, A0RRNM, ATR, ATRRNM, NM","AR, ASR, FR, KF, N0RR, NM, NTRR, PRTN, SRPNT"
"athair-thalmhainn","yarrow, milfoil, Irish and Middle Irish <i>athair talman</i>; ""pater-telluris!"" Also <i>earr-thalmhainn</i>, which suggests borrowing from English <i>yarrow</i>.","","athair, athair-thalmhainn, thalmhainn","also, athair, borrow, earr-thalmhainn, english, from, irish, middl, milfoil, pater-telluri, suggest, talman, which, yarrow","0LMN, A0R, A0RR0LMN, ATR, ATRRTLMN, TLMN","A0R, AK, ALS, ANKLX, ANLX, AR, ARF, ARRLMN, ARX, ATR, AX, FRM, MLFL, MTL, PR, PRF, PTRRTLR, SKST, TLMN"
